SMILES,Title
N#Cc1ccc(cc1)NC(=N\C#N)\N[C@H](C)C(C)(C)C,HY-100276
COP(=O)(OC)O[C@H](P(=O)(OC)OC)c1ccc(Cl)cc1,HY-100277
COP(=O)(OC)O[C@@H](P(=O)(OC)OC)c1ccc(Cl)cc1,HY-100277
c1cc(Cl)ccc1[C@@H](N2C(=O)N(CC3=O)CCN3)[C@H](c4ccc(Cl)cc4)N=C2c5c(OC(C)C)cc(cc5)OC,HY-10029
CC(C)(C)C#C/C=C/C[N@H+](CC)Cc1cc(ccc1)OCC(C)(C)OCc2ccsc2,HY-100303A
CC(C)(C)C#C/C=C/C[N@@H+](CC)Cc1cc(ccc1)OCC(C)(C)OCc2ccsc2,HY-100303A
c1cc(O)ccc1C(c2ccc(O)cc2)c3c(n(CC[NH+](C)C)c(c34)cccc4)C(=O)N5CCN(CC5)c6c(Cl)cccc6,HY-100304A
CC[C@@]1(O)C(=O)OCc(c2=O)c1cc3n2Cc(c34)cc5c(n4)cccc5N,HY-100309
c1ccc(F)cc1C(\c2ncc(C)[nH]2)=C/3C(=O)Nc(c34)ccc(c4)N[C@H]5CC[N@H+](CC)CC5,HY-100315
c1ccc(F)cc1C(\c2ncc(C)[nH]2)=C/3C(=O)Nc(c34)ccc(c4)N[C@H]5CC[N@@H+](CC)CC5,HY-100315
c1ccc(F)cc1C(\c2nc(C)c[nH]2)=C/3C(=O)Nc(c34)ccc(c4)N[C@H]5CC[N@H+](CC)CC5,HY-100315
c1ccc(F)cc1C(\c2nc(C)c[nH]2)=C/3C(=O)Nc(c34)ccc(c4)N[C@H]5CC[N@@H+](CC)CC5,HY-100315
C1CCCCC1[C@@H]([NH3+])C(=O)Nc(cc2c(=O)[nH]nc3)cc4[nH]c(c3c24)-c5cnn(C)c5,HY-10032
c1c(F)ccc(c12)oc(cc2=O)C(=O)N[C@H]3CC[N@@H+](CC3)Cc(c4)ccc(c45)OCO5,HY-100321
c1c(F)ccc(c12)oc(cc2=O)C(=O)N[C@H]3CC[N@H+](CC3)Cc(c4)ccc(c45)OCO5,HY-100321
c1c(F)ccc(c12)oc(cc2=O)C(=O)NC3CCN(CC3)Cc(c4)ccc(c45)OCO5,HY-100321
CCCC[C@H]1CC[N@@H+](CC1)CCCN2C(=O)COc(c23)cc(F)cc3,HY-100336
CCCC[C@H]1CC[N@H+](CC1)CCCN2C(=O)COc(c23)cc(F)cc3,HY-100336
NC(=O)c1ccc(cc1)-c2ccc(cc2)OC(=O)N(C)Cc3cc(ccc3)-c4ccncc4,HY-100337
CC(C)(C)S(=O)(=O)c(c1)ccc(c12)nccc2Nc3n[nH]c(c34)ccc(F)c4,HY-100339
O=C1NC(=S)NC(=O)C1=Cc2cc([N+]([O-])=O)c(cc2)N(CC(C)C)CC(C)C,HY-100341
O=C1NC(=S)N=C([O-])\C1=C\c2cc([N+]([O-])=O)c(cc2)N(CC(C)C)CC(C)C,HY-100341
O=C1NC(=S)N=C([O-])/C1=C\c2cc([N+]([O-])=O)c(cc2)N(CC(C)C)CC(C)C,HY-100341
C1CC1C(=O)N(C2)CC2NC(=O)c3cnc(N)c(c34)nc(cc4)-c5cc(F)ccc5,HY-100343
s1cccc1CN(CCC[NH3+])C(=O)c2c(cccc2)OCc3cc(C)ccc3,HY-100345
c1cccc(c12)cc(C(=O)N(C)[C@H](C)CC)nc2-c3c(F)ccc(c3)[N+]([O-])=O,HY-100346
c1cccc(c12)cc(C(=O)N(C)[C@@H](C)CC)nc2-c3c(F)ccc(c3)[N+]([O-])=O,HY-100346
C1CCCCC1NC(=O)N(Cc2ccccc2)CC3CC[NH2+]CC3,HY-100347
C1CCCCC1NC(=O)N(Cc2ccccc2)CC3CC[NH2+]CC3,HY-100347A
ClC[C@H](O)COc(cc1)ccc1C(C)(C)c2ccc(cc2)OC[C@@H](O)CO,HY-100348
ClC[C@H](O)COc(cc1)ccc1C(C)(C)c2ccc(cc2)OC[C@H](O)CO,HY-100348
ClC[C@@H](O)COc(cc1)ccc1C(C)(C)c2ccc(cc2)OC[C@@H](O)CO,HY-100348
ClC[C@@H](O)COc(cc1)ccc1C(C)(C)c2ccc(cc2)OC[C@H](O)CO,HY-100348
COC(=O)[C@@H]1CCCN1C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H]2[C@H](O2)C(=O)NCCC,HY-100350
C[NH+](C)Cc1c(OC)cc(cc1OC)-c2cn(C)c(=O)c(c23)cncc3,HY-100351
C[NH+](C)Cc1c(OC)cc(c(c1)OC)-c2cn(C)c(=O)c(c23)cncc3,HY-100352
CC[NH+](CC)CCCNc1cc[nH+]c(c12)cc(Cl)cc2,HY-100358
CC[NH+](CC)CCCNc1ccnc(c12)cc(Cl)cc2,HY-100358
c1cccc(c12)oc(c2)C(=O)NCCCC[NH+]3CCOCC3,HY-100359
C[NH2+]CCN(CC1)CCC1OCc2ccccc2,HY-100360
ONC(=O)CCCCCCC(=O)Oc(cc1)ccc1C(=O)OC,HY-100365
[O-]NC(=O)CCCCCCC(=O)Oc(cc1)ccc1C(=O)OC,HY-100365
C1CCC[C@@H](C(=O)N)[C@H]1C(=O)Nc(c2)ccc(Cl)c2Cl,HY-100366
C1C[NH2+]CCC1COc(cncc2)c2-c3cnn(c3)-c4ccc(cc4)N5CC[NH+](C)CC5,HY-100368A
CCc1c(C(=O)OC)[nH+]cc2[nH]c(c3c12)cc(OC)c(c3)OC,HY-100369A
CCc1c(C(=O)OC)ncc2[nH]c(c3c12)cc(OC)c(c3)OC,HY-100369A
c1cc(Cl)ccc1Cn(c(CC(C([O-])=O)(C)C)c2SC(C)(C)C)c(c23)ccc(c3)OCc(cc4)nc(c45)cccc5,HY-10037
Cc1cc(no1)-c(nnc2)n(c23)nc(c3C(C)(C)C)OCc4ncnn4C,HY-100370
[O-]C(=O)[C@](C)([NH3+])c1ccc(C([O-])=O)cc1,HY-100371
[O-]C(=O)[C@@](C)([NH3+])c1ccc(C([O-])=O)cc1,HY-100371
N#Cc1ccc(cc1)-c(cs2)nc2[C@H](C)[C@@](O)(c3c(F)ccc(F)c3)Cn4c[n+](cn4)[C@H](C)OC(=O)N(C)c(nccc5)c5COC(=O)C[NH2+]C,HY-100373
N#Cc1ccc(cc1)-c(cs2)nc2[C@H](C)[C@@](O)(c3c(F)ccc(F)c3)Cn4c[n+](cn4)[C@@H](C)OC(=O)N(C)c(nccc5)c5COC(=O)C[NH2+]C,HY-100373
N#Cc1ccc(cc1)-c(cs2)nc2[C@H](C)[C@@](O)(c3c(F)ccc(F)c3)Cn4c[n+](cn4)[C@H](C)OC(=O)N(C)c(nccc5)c5COC(=O)CNC,HY-100373
N#Cc1ccc(cc1)-c(cs2)nc2[C@H](C)[C@@](O)(c3c(F)ccc(F)c3)Cn4c[n+](cn4)[C@@H](C)OC(=O)N(C)c(nccc5)c5COC(=O)CNC,HY-100373
COC(=O)\C=C\C(=O)OCCN1C(=O)CCC1=O,HY-100375
CC(=O)Nc(cc1)ccc1C(=O)NC(C)(C)C,HY-100376
NC(=O)CNC(=O)C(CCC)CCC,HY-100379
C1CC[C@@H](C([O-])=O)[C@@H]1C(=O)c2ccc(cc2)-c3ccc(cc3)NC(=O)Nc4ccccc4,HY-10038
Cc1c(C)ccc(c1)N(N=C2C)C(=O)C\2=N\Nc(ccc3)c(O)c3-c(ccc4)cc4-c5[n-]nnn5,HY-100380
[O-]C(=O)[C@H](C)[C@H]1[C@@H](C)CC[C@@H](O1)C[C@@H](O2)C[C@@H](OC)[C@@H](C)[C@]23[C@H](C)C[C@@](O3)(C)[C@H](O4)CC[C@@]4(C)[C@@H]([C@H]5C)O[C@H](C5)[C@@H](O6)[C@@H](C)C[C@@H](C)[C@]6(O)CO,HY-100381
c1ccnc(c12)ccc(c2)-c(c3C)nnn3-c4c(F)nccc4,HY-100382
CC(C)[C@@H](C([O-])=O)N(C(=S)S1)C(=O)/C1=C\c2ccc(Br)cc2,HY-100383
CC(C)[C@H](C([O-])=O)N(C(=S)S1)C(=O)/C1=C\c2ccc(Br)cc2,HY-100383
c1cccc(N)c1NC(=O)CCCCCC(=O)Nc2ccccc2,HY-100384
C1CCN([C@@H]12)C(=O)[C@@H](NC2=O)Cc3c[nH]c(c34)cccc4,HY-100385
CC1([NH3+])CCN(CC1)c(cn2)nc(N)c2-c3c(Cl)c(Cl)ccc3,HY-100388
CC1([NH3+])CCN(CC1)c(cn2)nc(N)c2-c3c(Cl)c(Cl)ccc3,HY-100388A
